parcel_id,bbox_x,bbox_y,bbox_w,bbox_h,cx,cy,area_px,detected_number,confidence,validation,tess_text,easyocr_text,engines_agree
433,5841,2587,135,45,5900,2607,762.5,,0.0,UNKNOWN,,,
434,6439,2585,179,40,6530,2605,1125.0,,0.0,UNKNOWN,,,
435,6071,2577,233,30,6194,2598,1227.5,,0.0,UNKNOWN,,,
436,3446,2570,182,55,3551,2594,1437.5,,0.0,UNKNOWN,,,
437,5302,2567,450,171,5523,2625,2308.0,,0.0,UNKNOWN,,,
438,5334,2560,123,45,5397,2581,536.0,,0.0,UNKNOWN,,,
439,7418,2552,144,51,7487,2581,1264.0,,0.0,UNKNOWN,,,
440,3788,2544,150,45,3864,2565,827.0,,0.0,UNKNOWN,,,
441,5515,2542,114,28,5572,2554,532.0,,0.0,UNKNOWN,,,
442,7294,2538,468,213,7530,2681,3126.0,,0.0,UNKNOWN,,,
443,6824,2533,158,24,6892,2541,923.0,,0.0,UNKNOWN,,,
444,8079,2531,59,107,8109,2584,558.0,,0.0,UNKNOWN,,,
445,1735,2531,67,55,1763,2564,754.0,,0.0,UNKNOWN,,,
446,1812,2528,39,67,1831,2560,548.0,,0.0,UNKNOWN,,,
447,1660,2521,69,64,1694,2554,794.5,,0.0,UNKNOWN,,,
448,5763,2510,184,71,5856,2552,1015.5,,0.0,UNKNOWN,,,
449,8075,2507,47,60,8097,2535,550.5,,0.0,UNKNOWN,,,
450,7035,2504,750,145,7389,2610,4509.5,,0.0,UNKNOWN,,,
451,5594,2485,47,40,5618,2505,511.5,,0.0,UNKNOWN,,,
452,5311,2482,159,30,5396,2490,699.5,,0.0,UNKNOWN,,,
453,3940,2482,123,26,3999,2494,643.5,,0.0,UNKNOWN,,,
454,8504,2477,82,78,8538,2519,598.5,,0.0,UNKNOWN,,,
455,7407,2467,77,37,7442,2485,741.5,,0.0,UNKNOWN,,,
456,6314,2467,311,73,6467,2487,2784.0,,0.0,UNKNOWN,,,
457,1107,2458,1083,283,1636,2631,6441.0,1,0.498,INVALID,,1,
458,5869,2452,431,68,6084,2498,3395.5,,0.0,UNKNOWN,,,
459,5504,2450,262,58,5640,2469,1599.5,,0.0,UNKNOWN,,,
460,4939,2439,68,126,4974,2500,860.5,,0.0,UNKNOWN,,,
461,3764,2430,491,103,4010,2466,3146.5,,0.0,UNKNOWN,,,
462,7472,2428,62,52,7503,2454,1069.5,,0.0,UNKNOWN,,,
463,6806,2425,159,108,6888,2481,1439.5,,0.0,UNKNOWN,,,
464,1125,2421,970,278,1602,2586,6353.0,,0.0,UNKNOWN,,,
465,8335,2411,250,446,8423,2636,3089.0,,0.0,UNKNOWN,,,
